Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CDNS,"Cadence Design Systems, Inc.",41.8,11783670800,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cdns
CDZI,"Cadiz, Inc.",12.55,293917887.6,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/cdzi
CZR,Caesars Entertainment Corporation,12.85,8972295978,n/a,2012,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/czr
CSTE,Caesarstone Ltd.,15.15,520382199,n/a,2012,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cste
PRSS,CafePress Inc.,1.45,24629974.05,n/a,2012,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/prss
CLBS,"Caladrius Biosciences, Inc.",4.25,40671875.25,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/clbs
CHY,Calamos Convertible and High Income Fund,12.17,888514576.8,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/chy
CHI,Calamos Convertible Opportunities and Income Fund,11.5,813700371,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/chi
CCD,Calamos Dynamic Convertible & Income Fund,20.92,510127756.6,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ccd
CHW,Calamos Global Dynamic Income Fund,9.16,540860902,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/chw
CGO,Calamos Global Total Return Fund,14.125,119914201.6,n/a,2005,n/a,n/a,https://www.nasdaq.com/symbol/cgo
CSQ,Calamos Strategic Total Return Fund,12.35,1908247900,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/csq
CAMP,CalAmp Corp.,21.15,757170000,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/camp
CVGW,"Calavo Growers, Inc.",93.6,1647360000,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/cvgw
CALA,"Calithera Biosciences, Inc.",5.35,191769070.1,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cala
CALM,"Cal-Maine Foods, Inc.",47.55,2312465437,n/a,1996,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/calm
CLMT,"Calumet Specialty Products Partners, L.P.",7.3,562691803.7,n/a,2006,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/clmt
CRUSC,Calvert Management Series,99.99,99990000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/crusc
CLXT,"Calyxt, Inc.",16.5,462342969,n/a,2017,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/clxt
ABCD,"Cambium Learning Group, Inc.",10.01,471645734.6,n/a,n/a,Consumer Services,Publishing,https://www.nasdaq.com/symbol/abcd
CATC,Cambridge Bancorp,88.1,361198106.5,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/catc
CAC,Camden National Corporation,45.38,706412444.1,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cac
CAMT,Camtek Ltd.,8.19,294856371.8,n/a,2000,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/camt
CSIQ,Canadian Solar Inc.,17.24,1009949629,n/a,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/csiq
CGIX,"Cancer Genetics, Inc.",0.93,25806102.21,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cgix
CPHC,Canterbury Park Holding Corporation,16.7,74507751.4,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/cphc
CPLA,Capella Education Company,89.65,1045823550,n/a,2006,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/cpla
CCBG,Capital City Bank Group,23.48,400194669.7,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ccbg
CPLP,Capital Product Partners L.P.,3.09,393192278.3,n/a,2007,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/cplp
CSWC,Capital Southwest Corporation,17,275177997,n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswc
CSWCL,Capital Southwest Corporation,25.3699,0,n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswcl
CPTA,Capitala Finance Corp.,8.44,134881530.6,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/cpta
CPTAG,Capitala Finance Corp.,24.8,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cptag
CPTAL,Capitala Finance Corp.,24.8501,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cptal
CFFN,"Capitol Federal Financial, Inc.",13.1,1811137029,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cffn
CAPR,"Capricor Therapeutics, Inc.",1.38,40171873.14,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/capr
CSTR,"CapStar Financial Holdings, Inc.",19.96,235388639.3,n/a,2016,Finance,Major Banks,https://www.nasdaq.com/symbol/cstr
CPST,Capstone Turbine Corporation,1.49,80580633.38,n/a,2000,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cpst
CARA,"Cara Therapeutics, Inc.",12.26,400901301.2,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cara
CBLK,"Carbon Black, Inc.",23.93,1575195624,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cblk
CARB,"Carbonite, Inc.",35.65,1018970332,n/a,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/carb
CSII,"Cardiovascular Systems, Inc.",29.88,993755165.4,n/a,1981,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/csii
CDLX,"Cardlytics, Inc.",19.43,393731987.6,n/a,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cdlx
CATM,Cardtronics plc,28.73,1319401203,n/a,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/catm
CDNA,"CareDx, Inc.",11.64,410695889.3,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cdna
CECO,Career Education Corporation,14.43,1004486744,n/a,1998,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ceco
CTRE,"CareTrust REIT, Inc.",15.26,1161863255,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ctre
CARG,"CarGurus, Inc.",31.89,3442102511,n/a,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/carg
CARO,Carolina Financial Corporation,41.93,883026260.6,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/caro
CART,"Carolina Trust BancShares, Inc.",8.05,56116445.35,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cart
CRZO,"Carrizo Oil & Gas, Inc.",26.84,2202690546,n/a,1997,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crzo
TAST,"Carrols Restaurant Group, Inc.",11.65,425678220,n/a,2006,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/tast
CARV,"Carver Bancorp, Inc.",8.32,30751443.84,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/carv
CASM,"CAS Medical Systems, Inc.",1.67,47945153.91,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/casm
CASA,"Casa Systems, Inc.",20.76,1710079777,n/a,2017,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/casa
CWST,"Casella Waste Systems, Inc.",23.77,1014701343,n/a,1997,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/cwst
CASY,"Caseys General Stores, Inc.",100.59,3775756903,n/a,1983,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/casy
CASI,"CASI Pharmaceuticals, Inc.",7.21,621107598.6,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/casi
CASS,"Cass Information Systems, Inc",61.16,751495793.8,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cass
CATB,"Catabasis Pharmaceuticals, Inc.",1.62,47037513.24,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/catb
CBIO,"Catalyst Biosciences, Inc. ",28.27,337407227.6,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cbio
CPRX,"Catalyst Pharmaceuticals, Inc.",3.34,342671187.8,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cprx
CATS,"Catasys, Inc.",5.05,80361513.55,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/cats
CATY,Cathay General Bancorp,42.04,3415347341,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/caty
CATYW,Cathay General Bancorp,22.21,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/catyw
CGVIC,Causeway ETMF Trust,100.1,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cgvic
CIVEC,Causeway ETMF Trust,100.12,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/civec
CVCO,"Cavco Industries, Inc.",177.2,1601304126,n/a,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/cvco
CAVM,"Cavium, Inc.",77.93,5456887480,n/a,2007,Technology,Semiconductors,https://www.nasdaq.com/symbol/cavm
CBFV,"CB Financial Services, Inc.",33.65,182184431.4,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cbfv
CBAK,"CBAK Energy Technology, Inc.",1.205,31609339.49,n/a,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cbak
CBOE,"Cboe Global Markets, Inc.",106.56,11986960933,n/a,2010,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cboe
CBTX,"CBTX, Inc.",29.91,776062327.4,n/a,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/cbtx
CDK,"CDK Global, Inc.",63.99,8421531674,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cdk
CDTI,"CDTI Advanced Materials, Inc.",0.6695,10580601.25,n/a,n/a,Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/cdti
CDW,CDW Corporation,78.75,11951046765,n/a,2013,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/cdw
CECE,CECO Environmental Corp.,6.34,220257515.2,n/a,n/a,Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/cece
CELC,Celcuity Inc.,19.52,197285887.7,n/a,2017,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/celc
CELG,Celgene Corporation,78.37,56804700846,n/a,1987,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/celg
CELGZ,Celgene Corporation,0.25,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/celgz
CLDX,"Celldex Therapeutics, Inc.",0.6716,96302632.02,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/cldx
APOP,Cellect Biotechnology Ltd.,7.23,46770812.16,6468992,2016,n/a,n/a,https://www.nasdaq.com/symbol/apop
APOPW,Cellect Biotechnology Ltd.,2.48,0,n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/apopw
CLRB,"Cellectar Biosciences, Inc.",1.06,18431644.64,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrb
CLRBW,"Cellectar Biosciences, Inc.",0.12,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrbw
CLRBZ,"Cellectar Biosciences, Inc.",0.4,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrbz
CLLS,Cellectis S.A.,29.39,291576720.5,9920950,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/clls
CBMG,"Cellular Biomedicine Group, Inc.",18.1,307811079.7,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cbmg
CLSN,Celsion Corporation,2.79,49494697.65,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clsn
CELH,"Celsius Holdings, Inc.",4.36,222185028.8,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/celh
CYAD,Celyad SA,26.9,13543907.9,503491,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyad
CETX,Cemtrex Inc.,2.26,26139492.22,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetx
CETXP,Cemtrex Inc.,4.8853,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetxp
CETXW,Cemtrex Inc.,0.36,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetxw
CDEV,"Centennial Resource Development, Inc.",19.69,5435613091,n/a,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cdev
CSFL,CenterState Bank Corporation,31.53,2644070329,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/csfl
CETV,Central European Media Enterprises Ltd.,3.75,557705763.8,n/a,1994,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/cetv
CFBK,Central Federal Corporation,2.45,57298265.15,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cfbk
CENT,Central Garden & Pet Company,41.1,2138223596,n/a,1993,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cent
CENTA,Central Garden & Pet Company,38.55,2005560088,n/a,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/centa
CVCY,Central Valley Community Bancorp,21.25,292356161.3,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cvcy
CENX,Century Aluminum Company,17.5,1532577708,n/a,1996,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/cenx
CNBKA,"Century Bancorp, Inc.",79.95,445154324.6,n/a,1987,Finance,Major Banks,https://www.nasdaq.com/symbol/cnbka
CNTY,"Century Casinos, Inc.",8.55,251051666.4,n/a,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/cnty
CRNT,Ceragon Networks Ltd.,3.09,241424722,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/crnt
CERC,Cerecor Inc.,3.91,122824966.9,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cerc
CERCW,Cerecor Inc.,0.26,0,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cercw
CERN,Cerner Corporation,61.34,20353484132,n/a,1986,Technology,EDP Services,https://www.nasdaq.com/symbol/cern
CERS,Cerus Corporation,6.56,856371906.9,n/a,1997,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cers
KOOL,Cesca Therapeutics Inc.,0.5201,5972037.848,n/a,n/a,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/kool
CEVA,"CEVA, Inc.",33.75,749960268.8,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/ceva
CSBR,"Champions Oncology, Inc.",4.18,45983540.46,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/csbr
CYOU,Changyou.com Limited,19.02,365472267.1,19215156,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyou
BURG,"Chanticleer Holdings, Inc.",3.2,10332691.2,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/burg
CTHR,Charles & Colvard Ltd.,1.27,27401104.71,n/a,1997,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cthr
GTLS,"Chart Industries, Inc.",64.25,1990102951,n/a,2006,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/gtls
CHTR,"Charter Communications, Inc.",270.17,64155500287,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/chtr
CHFN,Charter Financial Corp.,25.09,379803161.8,n/a,2010,Finance,Savings Institutions,https://www.nasdaq.com/symbol/chfn
CHKP,Check Point Software Technologies Ltd.,95.68,15216438948,n/a,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/chkp
CHEK,Check-Cap Ltd.,4.4,21294187.2,n/a,2015,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chek
CHEKW,Check-Cap Ltd.,0.16,0,n/a,2015,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chekw
CHEKZ,Check-Cap Ltd.,0.8482,0,n/a,n/a,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chekz
CKPT,"Checkpoint Therapeutics, Inc.",3.59,114934165.9,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ckpt
CEMI,"Chembio Diagnostics, Inc.",8.9,126048047.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cemi
CHFC,Chemical Financial Corporation,55.96,3992999499,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chfc
CCXI,"ChemoCentryx, Inc.",12.29,604054495.5,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ccxi
CHMG,Chemung Financial Corp,49.1,233955313.4,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chmg
CHKE,Cherokee Inc.,0.81,11337732,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/chke
CHFS,"CHF Solutions, Inc.",2.8882,13001082.11,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/chfs
CHMA,"Chiasma, Inc.",1.65,40233590.1,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/chma
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",9.05,105070427.6,n/a,2017,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/csse
PLCE,"Children&#39;s Place, Inc. (The)",127.5,2099532173,n/a,1997,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/plce
CMRX,"Chimerix, Inc.",4.8,229215840,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cmrx
CADC,"China Advanced Construction Materials Group, Inc.",2.55,6088527.9,n/a,n/a,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/cadc
CALI,China Auto Logistics Inc.,2.8,13553103.2,n/a,n/a,Consumer Services,Motor Vehicles,https://www.nasdaq.com/symbol/cali
CAAS,"China Automotive Systems, Inc.",4.67,147777498.7,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/caas
CBPO,"China Biologic Products Holdings, Inc.",78.84,2612193184,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",1.65,7625958.45,n/a,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cccl
CCCR,"China Commercial Credit, Inc.",1.1299,22881508.86,n/a,2013,Finance,Major Banks,https://www.nasdaq.com/symbol/cccr
CCRC,"China Customer Relations Centers, Inc.",17.74,325167104,n/a,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ccrc
JRJC,China Finance Online Co. Limited,2.09,44348966.09,21219601,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jrjc
HGSH,"China HGS Real Estate, Inc.",1.77,79738500,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/hgsh
CNIT,"China Information Technology, Inc.",1.78,72553090.14,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cnit
CIFS,China Internet Nationwide Financial Services Inc.,24.53,542461031.6,n/a,2017,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/cifs
CJJD,"China Jo-Jo Drugstores, Inc.",1.6,40343484.8,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cjjd
CLDC,China Lending Corporation,1.9,45139567.3,n/a,2014,Finance,Diversified Financial Services,https://www.nasdaq.com/symbol/cldc
HTHT,"China Lodging Group, Limited",173.93,6193198735,35607421,2010,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/htht
CHNR,"China Natural Resources, Inc.",2.12,52811141.92,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/chnr
CREG,China Recycling Energy Corporation,1.69,14044234.62,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/creg
CNTF,China TechFaith Wireless Communication Technology Limited,2.05,14880923.35,7258987,2005,n/a,n/a,https://www.nasdaq.com/symbol/cntf
CXDC,China XD Plastics Company Limited,4,198910924,n/a,n/a,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/cxdc
CCIH,ChinaCache International Holdings Ltd.,1.23,29718620.4,24161480,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",2.9,46784374.7,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES INC.,13.62,118516963.3,8701686,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/imos
CDXC,ChromaDex Corporation,3.88,212882066.6,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cdxc
CHSCL,CHS Inc,27.44,0,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscl
CHSCM,CHS Inc,26.36,500840000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscm
CHSCN,CHS Inc,26.89,451752000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscn
CHSCO,CHS Inc,28.45,322030528.8,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chsco
CHSCP,CHS Inc,30,216967740,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/chscp
CHDN,"Churchill Downs, Incorporated",309.65,4192382625,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/chdn
CHUY,"Chuy&#39;s Holdings, Inc.",27.95,473083824.2,n/a,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/chuy
CDTX,"Cidara Therapeutics, Inc.",4.7,100537967.9,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cdtx
CMCT,CIM Commercial Trust Corporation,15.05,659115848.7,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cmct
CMCTP,CIM Commercial Trust Corporation,n/a,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cmctp
CMPR,Cimpress N.V,136.65,4197318306,n/a,n/a,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/cmpr
CINF,Cincinnati Financial Corporation,70.73,11610045024,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cinf
CIDM,Cinedigm Corp,1.64,57314375.6,n/a,n/a,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/cidm
CTAS,Cintas Corporation,182.85,19513916931,n/a,1983,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/ctas
CRUS,"Cirrus Logic, Inc.",38.06,2411722558,n/a,1989,Technology,Semiconductors,https://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",43.21,2.08165E+11,n/a,1990,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/csco
CTRN,"Citi Trends, Inc.",30.45,418754946.8,n/a,2005,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/ctrn
CTXR,"Citius Pharmaceuticals, Inc.",2.545,27173529.99,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctxr
CTXRW,"Citius Pharmaceuticals, Inc.",0.39,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctxrw
CZNC,Citizens & Northern Corp,24.77,303741481,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cznc
CZWI,"Citizens Community Bancorp, Inc.",14.14,83654898.32,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/czwi
CZFC,Citizens First Corporation,26.5,67246532.5,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/czfc
CIZN,Citizens Holding Company,22.2,108662451,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cizn
CTXS,"Citrix Systems, Inc.",105.34,14276243319,n/a,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ctxs
CHCO,City Holding Company,74.17,1144813431,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chco
CIVB,"Civista Bancshares, Inc. ",23.95,245721826.8,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/civb
CIVBP,"Civista Bancshares, Inc. ",76.48,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/civbp
CLAR,Clarus Corporation,7.35,220803297.8,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/clar
CLNE,Clean Energy Fuels Corp.,2.42,369133216.5,n/a,2007,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/clne
CACG,ClearBridge All Cap Growth ETF,29.57,57659134.4,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cacg
YLDE,ClearBridge Dividend Strategy ESG ETF,27.57,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ylde
LRGE,ClearBridge Large Cap Growth ESG ETF,31.3104,3131102.621,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lrge
CLFD,"Clearfield, Inc.",11.7,161576976.6,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/clfd
CLRO,"ClearOne, Inc.",5.95,49393764.35,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/clro
CLSD,"Clearside Biomedical, Inc.",13.02,415950369.7,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clsd
CLIR,ClearSign Combustion Corporation,2.05,43790773.65,n/a,2012,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/clir
CLIRW,ClearSign Combustion Corporation,0.59,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/clirw
CMTA,Clementia Pharmaceuticals Inc.,18.33,581383314.7,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cmta
CBLI,"Cleveland BioLabs, Inc.",2.7298,30841932.82,n/a,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/cbli
CLVS,"Clovis Oncology, Inc.",50.09,2632179160,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clvs
CMFN,CM Finance Inc,8.6,117752326.6,n/a,2014,n/a,n/a,https://www.nasdaq.com/symbol/cmfn
